optIter	freq	Eq_Tx
1468	4.32099999999999973E9	3.83309263067906647E-2
1468	4.32399999999999984E9	3.84644605292997266E-2
1468	4.32699999999999996E9	3.85987730765981674E-2
1468	4.33000000000000007E9	3.87338695165841340E-2
1468	4.33300000000000018E9	3.88697554627480235E-2
1468	4.33600000000000030E9	3.90064365746001585E-2
1468	4.33900000000000041E9	3.91439185581019178E-2
1468	4.34200000000000053E9	3.92822071661008421E-2
1468	4.34500000000000064E9	3.94213081987710723E-2
1468	4.34800000000000075E9	3.95612275040566130E-2
1468	4.35100000000000087E9	3.97019709781215902E-2
1468	4.35400000000000009E9	3.98435445658012721E-2
1468	4.35700000000000021E9	3.99859542610615959E-2
1468	4.36000000000000032E9	4.01292061074604334E-2
1468	4.36300000000000043E9	4.02733061986150354E-2
